layer,level,class,id,plot_id,percentage_inside,Site,cover,clumpy,pd,pland
1,class,0,NA,69,99.91145171,vhu,coral,0.989596543,13.01152148,22.67259493
1,class,0,NA,70,100.0311061,vhu,coral,0.990650236,11.99626842,37.57972094
1,class,0,NA,71,100.0311061,vhu,coral,0.988490602,13.99564649,27.88599834
1,class,0,NA,72,99.91145171,vhu,coral,0.988534056,15.01329402,29.06350174
1,class,0,NA,73,100.0311061,vhu,coral,0.986126022,17.99440264,37.44019139
1,class,0,NA,74,100.0311061,vhu,coral,0.985598387,21.99315878,38.2752199
1,class,0,NA,75,99.91145171,vhu,coral,0.98293614,24.02127042,43.48338054
1,class,0,NA,76,99.91145171,vhu,coral,0.985358232,20.01772535,36.63408512
1,class,0,NA,77,100.0311061,vhu,coral,0.989177629,11.99626842,22.70506833
1,class,0,NA,78,100.0311061,vhu,coral,0.987994202,16.9947136,33.42205541
1,class,0,NA,79,99.91145171,vhu,coral,0.990697911,11.00974894,28.69288967
1,class,0,NA,80,100.0311061,vhu,coral,0.990453617,11.99626842,18.60842907
1,class,0,NA,81,100.0311061,vhu,coral,0.988360367,13.99564649,26.30705097
1,class,0,NA,82,99.91145171,vhu,coral,0.9873574,17.01506655,33.51242425
1,class,0,NA,83,100.0311061,vhu,coral,0.986337951,19.99378071,40.87470991
1,class,0,NA,84,100.0311061,vhu,coral,0.984763321,26.99160395,37.00369596
1,class,0,NA,85,99.91145171,vhu,coral,0.98350132,26.02304296,38.11237405
1,class,0,NA,86,99.91145171,vhu,coral,0.985566381,24.02127042,30.64577432
1,class,0,NA,87,100.0311061,vhu,coral,0.987457035,16.9947136,25.96080566
1,class,0,NA,88,100.0311061,vhu,coral,0.987573952,18.99409167,30.59751311
1,class,0,NA,89,99.91145171,vhu,coral,0.988173193,15.01329402,29.14310302
1,class,0,NA,90,100.0311061,vhu,coral,0.994433463,4.998445177,9.095206716
1,class,0,NA,91,100.0311061,vhu,coral,0.986984445,20.99346974,33.22336189
1,class,0,NA,92,99.91145171,vhu,coral,0.988153914,14.01240775,21.53451181
1,class,0,NA,93,100.0311061,vhu,coral,0.98720876,18.99409167,26.30748073
1,class,0,NA,94,100.0311061,vhu,coral,0.985702491,19.99378071,24.31037447
1,class,0,NA,95,99.91145171,vhu,coral,0.989432383,16.01418028,24.85940693
1,class,0,NA,96,99.91145171,vhu,coral,0.987514604,19.01683909,39.68460683
1,class,0,NA,97,100.0311061,vhu,coral,0.988271227,21.99315878,31.82090365
1,class,0,NA,98,100.0311061,vhu,coral,0.988369607,18.99409167,34.38572616
1,class,0,NA,99,99.91145171,vhu,coral,0.984636526,18.01595282,15.57173079
1,class,0,NA,100,100.0311061,vhu,coral,0.988177363,12.99595746,22.09580838
1,class,0,NA,101,100.0311061,vhu,coral,0.985214737,21.99315878,36.95943042
1,class,0,NA,102,99.91145171,vhu,coral,0.98765879,16.01418028,29.31392305
1,class,0,NA,103,100.0311061,vhu,coral,0.983450641,25.99191492,36.84869495
1,class,0,NA,104,100.0311061,vhu,coral,0.986109978,21.99315878,28.623041
1,class,0,NA,105,99.91145171,vhu,coral,0.986873176,18.01595282,38.38832515
1,class,0,NA,106,99.91145171,vhu,coral,0.988676708,16.01418028,28.70493743
1,class,0,NA,107,100.0311061,vhu,coral,0.989173942,16.9947136,25.01088732
1,class,0,NA,108,100.0311061,vhu,coral,0.988806995,6.997823247,7.279030456
1,class,0,NA,109,99.91145171,vhu,coral,0.989244672,11.00974894,15.2171824
1,class,0,NA,110,100.0311061,vhu,coral,0.987489971,16.9947136,23.97888434
1,class,0,NA,111,100.0311061,vhu,coral,0.985431647,20.99346974,34.92163997
1,class,0,NA,112,99.91145171,vhu,coral,0.987397971,16.01418028,21.48804188
1,class,0,NA,113,100.0311061,vhu,coral,0.987772794,17.99440264,24.58055182
1,class,0,NA,114,100.0311061,vhu,coral,0.987437867,19.99378071,38.00045841
1,class,0,NA,115,99.91145171,vhu,coral,0.988415868,16.01418028,25.34275162
1,class,0,NA,116,99.91145171,vhu,coral,0.990312157,12.01063521,37.71680591
1,class,0,NA,117,100.0311061,vhu,coral,0.985196622,21.99315878,39.69615792
1,class,0,NA,118,100.0311061,vhu,coral,0.991533844,6.997823247,10.61112225
1,class,0,NA,119,99.91145171,vhu,coral,0.990387891,9.007976409,12.11301947
1,class,0,NA,120,100.0311061,vhu,coral,0.988631376,15.99502457,33.52749047
1,class,0,NA,121,100.1509039,vhu,coral,0.985166316,22.96534441,39.90794052
1,class,0,NA,122,100.0311061,vhu,coral,0.985271689,21.99315878,41.03343552
1,class,0,NA,123,100.1509039,vhu,coral,0.988004261,18.97137147,29.06026075
