plot_id,class,Site,cover,level,layer,id,percentage_inside,clumpy,pd,pland,NA
62,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
62,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
62,0,vhu,coral,class,1,NA,99.91145171,0.988386545,16.01418028,34.59873068,NA
63,1,ana,coral,class,1,NA,100.094512,0.994515031,0.999055773,0.675062057,NA
63,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
63,0,vhu,coral,class,1,NA,100.0311061,0.987320554,15.99502457,22.11213936,NA
64,1,ana,coral,class,1,NA,100.094512,0.991311375,2.997167319,2.395309883,NA
64,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
64,0,vhu,coral,class,1,NA,100.0311061,0.985218589,22.99284781,36.3647824,NA
65,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
65,0,man,coral,class,1,NA,100.0900777,0.998034329,0.999100033,2.873273316,NA
65,0,vhu,coral,class,1,NA,99.91145171,0.984613294,22.01949789,38.73670623,NA
66,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
66,0,man,coral,class,1,NA,100.0900777,0.994357944,0.999100033,1.367302249,NA
66,0,vhu,coral,class,1,NA,99.91145171,0.986902415,21.01861162,30.53318513,NA
67,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
67,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
67,0,vhu,coral,class,1,NA,100.0311061,0.989969423,12.99595746,31.11337134,NA
68,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
68,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
68,0,vhu,coral,class,1,NA,100.0311061,0.987217323,15.99502457,21.95413002,NA
69,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
69,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
69,0,vhu,coral,class,1,NA,99.91145171,0.989596543,13.01152148,22.67259493,NA
70,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
70,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
70,0,vhu,coral,class,1,NA,100.0311061,0.990650236,11.99626842,37.57972094,NA
71,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
71,0,man,coral,class,1,NA,99.94930406,0.992380784,2.001014433,3.124740001,NA
71,0,vhu,coral,class,1,NA,100.0311061,0.988490602,13.99564649,27.88599834,NA
72,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
72,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
72,0,vhu,coral,class,1,NA,99.91145171,0.988534056,15.01329402,29.06350174,NA
73,1,ana,coral,class,1,NA,99.99391446,0.995422515,1.000060859,1.058560197,NA
73,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
73,0,vhu,coral,class,1,NA,100.0311061,0.986126022,17.99440264,37.44019139,NA
74,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
74,0,man,coral,class,1,NA,99.94930406,0.99441766,1.000507217,1.49422555,NA
74,0,vhu,coral,class,1,NA,100.0311061,0.985598387,21.99315878,38.2752199,NA
75,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
75,0,man,coral,class,1,NA,99.94930406,0.985909841,13.00659382,24.33628494,NA
75,0,vhu,coral,class,1,NA,99.91145171,0.98293614,24.02127042,43.48338054,NA
76,1,ana,coral,class,1,NA,99.89351896,0.99829014,2.002131891,1.147386834,NA
76,0,man,coral,class,1,NA,99.94930406,0.989323328,5.002536083,6.207087815,NA
76,0,vhu,coral,class,1,NA,99.91145171,0.985358232,20.01772535,36.63408512,NA
77,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
