x,y
3186.006264,18728.81633
1899.888341,18711.17583
8016.087753,18695.51784
7042.701166,18693.30412
2176.618276,18670.03974
962.7312572,18661.23274
6271.546077,18677.04517
4691.755253,18670.38006
6843.76011,18607.79537
5150.887671,18625.85023
1490.911799,18665.2554
5893.819455,18640.05421
8280.616733,18642.48428
8106.077677,18609.96185
7739.216032,18636.87216
3384.938327,18604.60496
374.4659807,18629.78101
6006.211562,18591.10364
7212.296141,18581.46811
2951.229786,18592.77719
2559.025535,18598.00329
7366.490489,18536.80489
5749.72584,18543.01065
1150.63541,18575.25856
3879.972662,18528.20401
6792.386919,18521.51305
6372.142651,18495.59279
261.0941735,18492.2671
8313.671595,18492.45268
4932.819763,18491.24931
1861.159784,18500.65067
1726.364378,18516.40841
7508.801177,18517.84373
538.6968731,18530.36927
7179.229081,18451.28583
4536.578784,18465.85017
3471.319256,18407.62568
3008.240983,18418.10717
1354.300642,18402.08386
8028.583736,18402.43522
5923.528283,18380.0268
7643.956067,18411.24833
7060.619658,18380.45314
7225.769431,18371.20304
6491.979628,18410.80909
5172.066863,18389.80518
187.6206647,18373.13021
3306.718318,18355.66325
5804.655321,18353.97788
4671.366532,18336.12159
4896.383203,18310.74992
748.5685579,18329.01556
1235.974103,18319.21595
7856.102167,18287.60546
2149.994049,18358.14325
1694.321965,18241.09228
740.4764886,18228.05976
5059.826155,18235.72181
7890.218485,18198.14659
5966.994351,18209.6594
7539.2857,18184.68207
8248.384483,18199.88857
2848.089638,18216.82391
4459.826665,18203.92427
5811.447635,18190.62328
3177.992977,18170.50856
297.5380684,18209.23758
2075.502454,18154.11638
7189.710739,18129.86204
6431.687407,18107.03123
6165.956829,18115.19813
2831.586089,18093.49441
5252.011192,18091.83199
1216.295584,18079.01372
7576.010838,18082.80468
3954.701665,18094.42822
1415.87174,18073.84128
3830.113086,18076.32653
67.31870141,18084.48186
5866.669442,18055.58722
4074.492585,18046.86226
6377.840932,18033.07951
5463.046456,18098.41523
2443.42661,18060.20717
2609.977442,18055.67518
5585.284034,18051.77029
6527.808121,18031.87357
2354.156792,18012.04455
1857.706654,18021.91987
3023.383551,18011.81107
6963.794139,18038.04716
4427.156862,18017.79444
2168.638677,18028.31839
7451.382968,17968.20873
1692.249152,17991.50868
7003.288659,17952.99565
369.7169189,18023.60604
1579.009271,17952.09714
1389.331266,17956.54338
5076.058364,17953.891
1051.106193,17933.40578
8087.506132,17935.76574
4544.889048,17894.52941
6308.275836,17903.28347
2725.687458,17907.39834
5348.174887,17875.93094
1976.458164,17892.37693
6623.080905,17848.22029
7286.181075,17876.1383
4795.564093,17846.08412
6571.7926,17814.76742
666.7888925,17856.55972
3376.040606,17847.54376
2937.462661,17829.25135
4998.524691,17835.31027
191.058082,17850.40638
4297.341675,17839.65834
6148.434346,17847.67208
1031.745199,17833.97202
2313.884579,17797.16437
1870.753259,17791.44169
3616.87565,17810.18359
5597.192694,17795.72945
4046.04818,17763.44132
7992.076503,17798.19349
4993.143986,17749.54171
1364.950876,17737.93015
3933.211895,17745.99566
4787.1886,17735.2686
2179.577996,17718.24386
5312.519056,17728.67047
6498.644484,17728.74563
5137.029394,17745.10292
6818.189259,17702.877
957.5196434,17707.72451
2458.45538,17701.60721
7055.850461,17695.52424
4211.152577,17702.03092
652.5719603,17680.76566
5217.395231,17701.15063
8159.824931,17670.22431
2207.857116,17643.04343
7828.265832,17669.37316
3663.614046,17656.11094
363.2166212,17693.61506
5630.426256,17665.09087
3325.726164,17628.36642
5339.93219,17594.99491
6083.908158,17600.47227
2917.064018,17650.23514
8304.155999,17605.42204
4596.891582,17593.9625
7611.823029,17629.63038
3.247153753,17531.76845
1606.544092,17592.12563
6334.770732,17568.94508
1013.736717,17576.59557
5033.231626,17553.19012
4379.013373,17542.65455
3672.254448,17516.37042
3944.079146,17506.4828
2016.124045,17476.8626
2437.873047,17511.6769
1653.482701,17487.33835
269.248817,17518.11889
5801.148781,17510.55146
566.1795547,17490.02666
1219.348638,17501.44773
4193.421074,17457.1311
3313.49173,17491.63788
1709.026474,17425.28389
4236.368991,17427.59584
3026.983832,17455.77805
2514.492997,17460.16148
6416.659745,17425.30947
7632.918897,17447.64788
7262.946,17453.03765
8224.559442,17464.53718
1266.819102,17404.94065
5264.084501,17416.41962
4697.529805,17434.76264
5165.988344,17407.02706
8060.47598,17397.38193
6851.447484,17405.55147
5861.715416,17397.60855
7792.002944,17395.34505
100.0768527,17417.9126
7572.343564,17377.7732
2369.460804,17399.78079
2034.98587,17363.64437
5582.693205,17395.12659
3352.618047,17361.4958
4518.750267,17372.81344
7306.435356,17324.03583
4966.735916,17319.54782
6114.409518,17365.12147
