site,site2,depth,species,a,b,c,p,size_poci
Motu Tautara,Motu_Tautara,shallow,POCI,10,10,10,1.6075,349.07805114869683
Motu Tautara,Motu_Tautara,shallow,POCI,25,25,10,1.6075,1008.3788461480558
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,20,1.6075,1358.9462134228897
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075,809.1997196529094
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075,809.1997196529094
Motu Tautara,Motu_Tautara,shallow,POCI,12,10,5,1.6075,203.99142599420813
Motu Tautara,Motu_Tautara,shallow,POCI,5,5,5,1.6075,94.16410661998572
Motu Tautara,Motu_Tautara,shallow,POCI,10,5,5,1.6075,103.67566131510607
Motu Tautara,Motu_Tautara,shallow,POCI,22,25,10,1.6075,970.7449430753228
Motu Tautara,Motu_Tautara,shallow,POCI,15,15,15,1.6075,770.4792458931101
Motu Tautara,Motu_Tautara,shallow,POCI,10,10,10,1.6075,349.07805114869683
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,20,1.6075,1358.9462134228897
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,10,1.6075,760.0796233237759
Vaihu,southeast,deep,POCI,16,15,14,1.6075,729.2712167286645
Vaihu,southeast,deep,POCI,19,17,11,1.6075,690.1092137609173
Vaihu,southeast,deep,POCI,26,20,10,1.6075,819.5674992509445
Vaihu,southeast,deep,POCI,19,17,16,1.6075,945.3143864522425
Vaihu,southeast,deep,POCI,17,17,15,1.6075,881.3375487347502
Vaihu,southeast,deep,POCI,5,5,5,1.6075,94.16410661998572
Vaihu,southeast,deep,POCI,15,10,7,1.6075,276.81937522732613
Vaihu,southeast,deep,POCI,25,17,8,1.6075,597.6349951147682
Vaihu,southeast,deep,POCI,14,10,7,1.6075,272.1446504641224
Vaihu,southeast,deep,POCI,19,16,11,1.6075,650.5376502425312
Vaihu,southeast,deep,POCI,17,14,9,1.6075,476.62099131942574
Vaihu,southeast,deep,POCI,17,16,11,1.6075,637.0164841235869
Vaihu,southeast,deep,POCI,16,14,9,1.6075,470.38522205368326
Vaihu,southeast,deep,POCI,15,8,8,1.6075,248.7753536485633
Vaihu,southeast,deep,POCI,34,27,12,1.6075,1362.8937097242622
Vaihu,southeast,deep,POCI,17,15,9,1.6075,509.5808813319104
Vaihu,southeast,deep,POCI,17,16,9,1.6075,542.5798844618032
Vaihu,southeast,deep,POCI,17,14,6,1.6075,357.2567525364793
Vaihu,southeast,deep,POCI,28,17,11,1.6075,763.2884739982716
Vaihu,southeast,deep,POCI,18,16,9,1.6075,549.9238463790014
Vaihu,southeast,deep,POCI,22,15,16,1.6075,854.0128195693206
Vaihu,southeast,deep,POCI,17,14,14,1.6075,687.2928651094201
Vaihu,southeast,deep,POCI,18,17,15,1.6075,887.3790260839884
