site,site2,depth,species,a,b,c,p
Motu Tautara,Motu_Tautara,mid,POCI,22,15,12,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,15,12,7,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,15,15,12,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,20,15,9,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,16,11,6,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,27,10,11,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,20,10,10,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,15,10,10,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,15,15,15,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,25,15,10,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,20,20,5,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,15,15,15,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,10,10,10,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,10,5,5,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,10,10,5,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,5,3,1,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,12,10,5,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,15,15,10,1.6075
Motu Tautara,Motu_Tautara,mid,POCI,20,10,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,15,7,7,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,26,21,18,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,17,16,12,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,17,11,11,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,20,24,12,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,19,16,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,33,22,11,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,15,14,8,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,27,19,9,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,22,17,8,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,28,26,9,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,28,16,14,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,36,27,15,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,21,15,16,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,33,22,14,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,27,24,16,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,32,22,17,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,26,20,15,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,27,20,6,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,19,16,7,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,21,17,14,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,26,25,15,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,21,16,15,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,16,15,14,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,21,20,9,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,7,24,14,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,30,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,30,30,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,25,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,22,20,25,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,30,30,30,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,20,25,20,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,30,5,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,20,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,30,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,10,10,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,10,10,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,25,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,20,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,12,10,5,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,5,5,5,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,10,5,5,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,22,25,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,15,15,15,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,10,10,10,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,20,1.6075
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,10,1.6075
Vaihu,southeast,deep,POCI,16,15,14,1.6075
Vaihu,southeast,deep,POCI,19,17,11,1.6075
