plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
115,1,ana,poci,class,1,NA,100.0,3.8,NA
115,0,man,poci,class,NA,NA,NA,0.0,NA
115,0,vhu,poci,class,1,NA,100.0,25.3,NA
116,1,ana,poci,class,NA,NA,NA,0.0,NA
116,0,man,poci,class,NA,NA,NA,0.0,NA
116,0,vhu,poci,class,1,NA,99.9,37.7,NA
117,1,ana,poci,class,NA,NA,NA,0.0,NA
117,0,man,poci,class,NA,NA,NA,0.0,NA
117,0,vhu,poci,class,1,NA,100.0,39.7,NA
118,1,ana,poci,class,1,NA,100.0,0.1,NA
118,0,man,poci,class,NA,NA,NA,0.0,NA
118,0,vhu,poci,class,1,NA,100.0,10.6,NA
119,1,ana,poci,class,NA,NA,NA,0.0,NA
119,0,man,poci,class,NA,NA,NA,0.0,NA
119,0,vhu,poci,class,1,NA,99.9,12.1,NA
120,1,ana,poci,class,NA,NA,NA,0.0,NA
120,0,man,poci,class,NA,NA,NA,0.0,NA
120,0,vhu,poci,class,1,NA,100.0,33.5,NA
121,1,ana,poci,class,1,NA,100.1,1.8,NA
121,0,man,poci,class,1,NA,99.9,14.9,NA
121,0,vhu,poci,class,1,NA,100.2,39.9,NA
122,1,ana,poci,class,1,NA,100.0,2.9,NA
122,0,man,poci,class,1,NA,99.9,5.4,NA
122,0,vhu,poci,class,1,NA,100.0,41.0,NA
123,1,ana,poci,class,NA,NA,NA,0.0,NA
123,0,man,poci,class,1,NA,99.8,4.9,NA
123,0,vhu,poci,class,1,NA,100.2,29.1,NA
124,1,ana,poci,class,NA,NA,NA,0.0,NA
124,0,man,poci,class,1,NA,99.9,4.4,NA
124,0,vhu,poci,class,1,NA,100.2,34.7,NA
125,1,ana,poci,class,1,NA,100.1,0.0,NA
125,0,man,poci,class,NA,NA,NA,0.0,NA
125,0,vhu,poci,class,1,NA,100.2,20.8,NA
126,1,ana,poci,class,1,NA,100.0,1.8,NA
126,0,man,poci,class,1,NA,99.9,1.7,NA
126,0,vhu,poci,class,1,NA,100.0,27.3,NA
127,1,ana,poci,class,1,NA,100.1,1.8,NA
127,0,man,poci,class,NA,NA,NA,0.0,NA
127,0,vhu,poci,class,1,NA,100.2,33.0,NA
128,1,ana,poci,class,NA,NA,NA,0.0,NA
128,0,man,poci,class,NA,NA,NA,0.0,NA
128,0,vhu,poci,class,1,NA,100.2,24.4,NA
129,1,ana,poci,class,1,NA,100.0,1.2,NA
129,0,man,poci,class,NA,NA,NA,0.0,NA
129,0,vhu,poci,class,1,NA,100.0,30.3,NA
130,1,ana,poci,class,1,NA,100.1,0.1,NA
130,0,man,poci,class,NA,NA,NA,0.0,NA
130,0,vhu,poci,class,1,NA,100.2,25.6,NA
131,1,ana,poci,class,1,NA,100.0,1.0,NA
131,0,man,poci,class,1,NA,100.1,26.5,NA
131,0,vhu,poci,class,1,NA,100.0,29.6,NA
132,1,ana,poci,class,1,NA,99.9,0.4,NA
132,0,man,poci,class,1,NA,100.1,24.0,NA
132,0,vhu,poci,class,1,NA,99.9,32.4,NA
