point,transect,x,y,z
293,A,-0.0637,-20.6452,-9.5357
294,A,-0.0657,-20.6354,-9.5479
295,A,-0.0677,-20.6256,-9.5558
296,A,-0.0698,-20.6158,-9.5760
297,A,-0.0718,-20.6059,-9.5792
298,A,-0.0738,-20.5961,-9.5871
299,A,-0.0758,-20.5863,-9.9723
300,A,-0.0778,-20.5765,-9.5700
301,A,-0.0798,-20.5667,-9.5733
302,A,-0.0819,-20.5569,-9.9328
303,A,-0.0839,-20.5471,-9.9129
304,A,-0.0859,-20.5373,-9.8994
305,A,-0.0879,-20.5275,-9.8994
306,A,-0.0899,-20.5177,-9.9015
307,A,-0.0919,-20.5079,-9.9037
308,A,-0.0940,-20.4981,-9.9056
309,A,-0.0960,-20.4883,-9.9122
310,A,-0.0980,-20.4785,-9.9282
311,A,-0.1000,-20.4687,-9.9887
312,A,-0.1020,-20.4589,-9.9948
313,A,-0.1040,-20.4491,-9.9955
314,A,-0.1061,-20.4393,-9.9872
315,A,-0.1081,-20.4295,-9.9802
316,A,-0.1101,-20.4197,-9.9801
317,A,-0.1121,-20.4098,-9.9791
318,A,-0.1141,-20.4000,-9.9781
319,A,-0.1161,-20.3902,-9.9742
320,A,-0.1181,-20.3804,-9.9736
321,A,-0.1202,-20.3706,-9.9724
322,A,-0.1222,-20.3608,-9.9724
323,A,-0.1242,-20.3510,-9.9727
324,A,-0.1262,-20.3412,-9.9752
325,A,-0.1282,-20.3314,-9.9788
326,A,-0.1302,-20.3216,-9.9844
327,A,-0.1323,-20.3118,-9.9850
328,A,-0.1343,-20.3020,-9.9833
329,A,-0.1363,-20.2922,-9.9736
330,A,-0.1383,-20.2824,-9.9531
331,A,-0.1403,-20.2726,-9.9479
332,A,-0.1423,-20.2628,-9.9464
333,A,-0.1444,-20.2530,-9.9445
334,A,-0.1464,-20.2432,-9.9429
335,A,-0.1484,-20.2334,-9.9377
336,A,-0.1504,-20.2236,-9.9330
337,A,-0.1524,-20.2137,-9.9304
338,A,-0.1544,-20.2039,-9.9291
339,A,-0.1564,-20.1941,-9.9139
340,A,-0.1585,-20.1843,-9.8984
341,A,-0.1605,-20.1745,-9.8779
342,A,-0.1625,-20.1647,-9.8367
343,A,-0.1645,-20.1549,-9.8239
344,A,-0.1665,-20.1451,-9.8181
345,A,-0.1685,-20.1353,-9.8123
346,A,-0.1706,-20.1255,-9.8123
347,A,-0.1726,-20.1157,-9.8098
348,A,-0.1746,-20.1059,-9.8001
349,A,-0.1766,-20.0961,-9.7909
350,A,-0.1786,-20.0863,-9.7870
351,A,-0.1806,-20.0765,-9.7848
352,A,-0.1827,-20.0667,-9.7821
353,A,-0.1847,-20.0569,-9.7828
354,A,-0.1867,-20.0471,-9.7808
355,A,-0.1887,-20.0373,-9.7747
356,A,-0.1907,-20.0275,-9.7747
357,A,-0.1927,-20.0176,-9.7750
358,A,-0.1947,-20.0078,-9.7788
359,A,-0.1968,-19.9980,-9.7766
360,A,-0.1988,-19.9882,-9.7769
361,A,-0.2008,-19.9784,-9.7860
362,A,-0.2028,-19.9686,-9.7906
363,A,-0.2048,-19.9588,-9.7906
364,A,-0.2068,-19.9490,-9.7961
365,A,-0.2089,-19.9392,-9.8055
366,A,-0.2109,-19.9294,-9.8410
367,A,-0.2129,-19.9196,-9.8896
368,A,-0.2149,-19.9098,-10.0334
369,A,-0.2169,-19.9000,-10.0457
370,A,-0.2189,-19.8902,-10.0525
371,A,-0.2210,-19.8804,-10.0614
372,A,-0.2230,-19.8706,-10.0655
373,A,-0.2250,-19.8608,-10.0686
374,A,-0.2270,-19.8510,-10.0706
375,A,-0.2290,-19.8412,-10.0754
376,A,-0.2310,-19.8314,-10.0777
377,A,-0.2330,-19.8216,-10.0849
378,A,-0.2351,-19.8117,-10.0919
379,A,-0.2371,-19.8019,-10.1020
380,A,-0.2391,-19.7921,-10.0969
381,A,-0.2411,-19.7823,-10.0966
382,A,-0.2431,-19.7725,-10.0793
383,A,-0.2451,-19.7627,-10.0646
384,A,-0.2472,-19.7529,-10.0343
385,A,-0.2492,-19.7431,-10.0234
386,A,-0.2512,-19.7333,-9.9901
387,A,-0.2532,-19.7235,-9.9562
388,A,-0.2552,-19.7137,-9.9500
389,A,-0.2572,-19.7039,-9.9457
390,A,-0.2593,-19.6941,-9.9450
391,A,-0.2613,-19.6843,-9.9427
392,A,-0.2633,-19.6745,-9.9430
393,A,-0.2653,-19.6647,-9.9441
394,A,-0.2673,-19.6549,-9.9526
395,A,-0.2693,-19.6451,-9.9636
396,A,-0.2713,-19.6353,-9.4991
397,A,-0.2734,-19.6255,-9.4982
398,A,-0.2754,-19.6156,-9.5006
399,A,-0.2774,-19.6058,-9.7093
400,A,-0.2794,-19.5960,-9.6978
401,A,-0.2814,-19.5862,-9.5711
402,A,-0.2834,-19.5764,-9.3586
403,A,-0.2855,-19.5666,-9.3355
404,A,-0.2875,-19.5568,-9.3281
405,A,-0.2895,-19.5470,-9.3247
406,A,-0.2915,-19.5372,-9.3204
407,A,-0.2935,-19.5274,-9.3226
408,A,-0.2955,-19.5176,-9.3270
409,A,-0.2976,-19.5078,-9.3361
410,A,-0.2996,-19.4980,-9.3254
411,A,-0.3016,-19.4882,-9.3257
412,A,-0.3036,-19.4784,-9.3436
413,A,-0.3056,-19.4686,-9.2216
414,A,-0.3076,-19.4588,-9.2056
415,A,-0.3097,-19.4490,-9.2056
416,A,-0.3117,-19.4392,-9.2025
417,A,-0.3137,-19.4294,-9.2052
418,A,-0.3157,-19.4195,-9.2168
419,A,-0.3177,-19.4097,-9.2084
420,A,-0.3197,-19.3999,-9.1904
421,A,-0.3217,-19.3901,-9.1904
422,A,-0.3238,-19.3803,-9.1940
423,A,-0.3258,-19.3705,-9.2096
424,A,-0.3278,-19.3607,-9.2334
425,A,-0.3298,-19.3509,-9.2555
426,A,-0.3318,-19.3411,-9.3876
427,A,-0.3338,-19.3313,-9.6056
428,A,-0.3359,-19.3215,-9.7262
429,A,-0.3379,-19.3117,-9.7184
430,A,-0.3399,-19.3019,-9.7148
431,A,-0.3419,-19.2921,0.0000
432,A,-0.3439,-19.2823,-9.5073
433,A,-0.3459,-19.2725,-9.5044
434,A,-0.3480,-19.2627,-9.5023
435,A,-0.3500,-19.2529,-9.5039
436,A,-0.3520,-19.2431,-9.5170
437,A,-0.3540,-19.2333,-9.5342
438,A,-0.3560,-19.2234,-9.5343
439,A,-0.3580,-19.2136,-9.5343
440,A,-0.3600,-19.2038,-9.5533
441,A,-0.3621,-19.1940,0.0000
442,A,-0.3641,-19.1842,0.0000
443,A,-0.3661,-19.1744,0.0000
444,A,-0.3681,-19.1646,0.0000
445,A,-0.3701,-19.1548,-9.2971
446,A,-0.3721,-19.1450,-9.2795
447,A,-0.3742,-19.1352,-9.2712
448,A,-0.3762,-19.1254,-9.2688
449,A,-0.3782,-19.1156,-9.2695
450,A,-0.3802,-19.1058,-9.2810
451,A,-0.3822,-19.0960,-9.2790
452,A,-0.3842,-19.0862,-9.2838
453,A,-0.3863,-19.0764,-9.2909
454,A,-0.3883,-19.0666,-9.3081
455,A,-0.3903,-19.0568,-9.3106
456,A,-0.3923,-19.0470,-9.2078
457,A,-0.3943,-19.0372,-9.2027
458,A,-0.3963,-19.0274,-9.2007
459,A,-0.3983,-19.0175,-9.2004
460,A,-0.4004,-19.0077,-9.2008
461,A,-0.4024,-18.9979,-9.0540
462,A,-0.4044,-18.9881,-9.0509
463,A,-0.4064,-18.9783,-9.0493
464,A,-0.4084,-18.9685,-9.0435
465,A,-0.4104,-18.9587,-9.0449
466,A,-0.4125,-18.9489,-9.0486
467,A,-0.4145,-18.9391,-9.0504
468,A,-0.4165,-18.9293,-9.0545
469,A,-0.4185,-18.9195,-9.0474
470,A,-0.4205,-18.9097,-9.0167
471,A,-0.4225,-18.8999,-9.0138
472,A,-0.4246,-18.8901,-9.0060
473,A,-0.4266,-18.8803,-8.9846
474,A,-0.4286,-18.8705,-8.9831
475,A,-0.4306,-18.8607,-8.9821
476,A,-0.4326,-18.8509,-8.9821
477,A,-0.4346,-18.8411,-8.9821
478,A,-0.4366,-18.8313,-8.9786
479,A,-0.4387,-18.8214,-8.9786
480,A,-0.4407,-18.8116,-8.9809
481,A,-0.4427,-18.8018,-8.9784
482,A,-0.4447,-18.7920,-8.9898
483,A,-0.4467,-18.7822,-8.9898
484,A,-0.4487,-18.7724,-8.9824
485,A,-0.4508,-18.7626,-8.9768
486,A,-0.4528,-18.7528,-8.9768
487,A,-0.4548,-18.7430,-8.9842
488,A,-0.4568,-18.7332,-8.9925
489,A,-0.4588,-18.7234,-8.9862
490,A,-0.4608,-18.7136,-8.9864
491,A,-0.4629,-18.7038,-8.9749
